id,restaurant,dish,cuisine,price,rating,city,area,dietary,spicy,mood_tags,meal_type,distance_km,delivery_minutes,image_url
1,Tandoori House,Paneer Tikka,North Indian,240,3.8,Gwalior,City Centre,Vegetarian,True,"comfort, happy, social","lunch, dinner",3.1,25,"https://loremflickr.com/800/600/paneer,tikka?lock=1"
2,The Spice Route,Butter Chicken,North Indian,280,4.5,Gwalior,Lashkar,Non-Vegetarian,True,"comfort, happy, tired","lunch, dinner",3.9,36,"https://loremflickr.com/800/600/butter,chicken?lock=2"
3,Gwalior Zaika,Vada Sambar,South Indian,80,4.3,Gwalior,Thatipur,Vegetarian,True,"happy, comfort","breakfast, snacks",2.1,21,"https://loremflickr.com/800/600/vada,sambar?lock=3"
4,Royal Rasoi,Farmhouse Pizza,Italian,280,4.3,Gwalior,Morar,Vegetarian,False,"happy, social, adventurous","lunch, dinner",3.1,25,"https://loremflickr.com/800/600/farmhouse,pizza?lock=4"
5,Swaad Junction,Special Thali,North Indian,280,4.5,Gwalior,Mahalgaon,Vegetarian,True,"comfort, happy, social","lunch, dinner",4.2,31,"https://loremflickr.com/800/600/special,thali?lock=5"
6,Urban Tadka,Tandoori Chicken,North Indian,300,4.6,Gwalior,City Centre,Non-Vegetarian,True,"adventurous, happy, social","lunch, dinner",1.2,27,"https://loremflickr.com/800/600/tandoori,chicken?lock=6"
7,Shree Bhojan,Chilli Paneer,Chinese,230,4.2,Gwalior,Phalka Bazar,Vegetarian,True,"adventurous, happy, social","snacks, dinner",2.0,22,"https://loremflickr.com/800/600/chilli,paneer?lock=7"
8,Desi Zaika,Veg Pasta,Italian,240,4.1,Gwalior,Hazira,Vegetarian,False,"comfort, tired, happy","lunch, dinner",3.5,25,"https://loremflickr.com/800/600/veg,pasta?lock=8"
9,Food Street Gwalior,Sprouts Chaat,Healthy,150,4.1,Gwalior,Thatipur,Vegetarian,True,"healthy, adventurous, tired","breakfast, snacks",3.1,23,"https://loremflickr.com/800/600/sprouts,chaat?lock=9"
10,The Green Bowl,Gulab Jamun,Dessert,90,4.3,Gwalior,University Road,Vegetarian,False,"happy, comfort, social","snacks, dinner",6.9,39,"https://loremflickr.com/800/600/gulab,jamun?lock=10"
11,Curry Culture,Chole Bhature,North Indian,170,4.0,Gwalior,Lashkar,Vegetarian,True,"happy, adventurous, comfort","breakfast, lunch",3.7,36,"https://loremflickr.com/800/600/chole,bhature?lock=11"
12,Madhya Rasoi,Chicken Hakka Noodles,Chinese,230,4.3,Gwalior,Morar,Non-Vegetarian,True,"tired, adventurous, happy","lunch, dinner",5.8,31,"https://loremflickr.com/800/600/chicken,hakka,noodles?lock=12"
13,Chai & Bites,Samosa Chaat,Street Food,90,4.6,Gwalior,City Centre,Vegetarian,True,"happy, social, comfort",snacks,3.8,36,"https://loremflickr.com/800/600/samosa,chaat?lock=13"
14,Indore Namkeen House,Chicken Burger,Fast Food,240,3.8,Gwalior,Thatipur,Non-Vegetarian,True,"happy, adventurous, comfort","lunch, snacks, dinner",3.1,31,"https://loremflickr.com/800/600/chicken,burger?lock=14"
15,The Dosa Corner,Kadhi Chawal,North Indian,160,3.9,Gwalior,Mahalgaon,Vegetarian,False,"comfort, tired, healthy",lunch,3.9,33,"https://loremflickr.com/800/600/kadhi,chawal?lock=15"
16,Punjab Grill House,Poha,Indian,100,4.7,Gwalior,Lashkar,Vegetarian,False,"healthy, tired, relaxed",breakfast,3.8,32,https://loremflickr.com/800/600/poha?lock=16
17,South Spice,Chicken Fried Rice,Chinese,210,4.3,Gwalior,University Road,Non-Vegetarian,True,"comfort, adventurous, happy","lunch, dinner",3.6,30,"https://loremflickr.com/800/600/chicken,fried,rice?lock=17"
18,Cafe Central,Veg Sandwich,Fast Food,120,4.8,Gwalior,City Centre,Vegetarian,False,"healthy, tired, happy","breakfast, snacks",2.9,29,"https://loremflickr.com/800/600/veg,sandwich?lock=18"
19,Flavours of India,Lassi,Beverage,100,4.1,Gwalior,Morar,Vegetarian,False,"relaxed, happy, tired","breakfast, snacks",6.1,32,https://loremflickr.com/800/600/lassi?lock=19
20,Biryani Junction,Ice Cream Sundae,Dessert,180,3.7,Gwalior,Hazira,Vegetarian,False,"happy, social, relaxed","snacks, dessert",4.6,30,"https://loremflickr.com/800/600/ice,cream,sundae?lock=20"
21,Healthy Plate,Mutton Biryani,Biryani,320,4.7,Gwalior,University Road,Non-Vegetarian,True,"adventurous, happy","lunch, dinner",5.1,38,"https://loremflickr.com/800/600/mutton,biryani?lock=21"
22,Street Food Hub,Idli Sambar,South Indian,100,4.4,Gwalior,Phalka Bazar,Vegetarian,False,"healthy, tired, relaxed","breakfast, lunch",2.4,32,"https://loremflickr.com/800/600/idli,sambar?lock=22"
